import time: self [us] | cumulative | imported package
import time:       223 |        223 |   _io
import time:        26 |         26 |   marshal
import time:       283 |        283 |   posix
import time:       281 |        811 | _frozen_importlib_external
import time:        85 |         85 |   time
import time:        82 |        167 | zipimport
import time:        33 |         33 |     _codecs
import time:       196 |        228 |   codecs
import time:       353 |        353 |   encodings.aliases
import time:       418 |        998 | encodings
import time:       185 |        185 | encodings.utf_8
import time:       109 |        109 | _signal
import time:        31 |         31 |     _abc
import time:        95 |        125 |   abc
import time:       123 |        248 | io
import time:        45 |         45 |       _stat
import time:        50 |         94 |     stat
import time:       678 |        678 |     _collections_abc
import time:        41 |         41 |       genericpath
import time:        56 |         97 |     posixpath
import time:       311 |       1178 |   os
import time:        53 |         53 |   _sitebuiltins
import time:       314 |        314 |   encodings.utf_8_sig
import time:       405 |        405 |   _virtualenv
import time:       216 |        216 |   _distutils_hack
import time:        54 |         54 |   sitecustomize
import time:      1099 |       3315 | site
import time:       211 |        211 |           types
import time:        69 |         69 |             _operator
import time:       212 |        281 |           operator
import time:       100 |        100 |               itertools
import time:       106 |        106 |               keyword
import time:       159 |        159 |               reprlib
import time:        61 |         61 |               _collections
import time:      1010 |       1434 |             collections
import time:        43 |         43 |             _functools
import time:       445 |       1920 |           functools
import time:      1258 |       3668 |         enum
import time:        65 |         65 |           _sre
import time:       286 |        286 |             re._constants
import time:       313 |        598 |           re._parser
import time:        86 |         86 |           re._casefix
import time:       513 |       1261 |         re._compiler
import time:       134 |        134 |         copyreg
import time:       431 |       5492 |       re
import time:       115 |        115 |         collections.abc
import time:       132 |        132 |             token
import time:        28 |         28 |             _tokenize
import time:       735 |        895 |           tokenize
import time:       122 |       1016 |         linecache
import time:       672 |        672 |         textwrap
import time:       442 |        442 |         contextlib
import time:      1292 |       3535 |       traceback
import time:       252 |        252 |       warnings
import time:       148 |        148 |         _weakrefset
import time:       329 |        477 |       weakref
import time:        27 |         27 |         _string
import time:       449 |        475 |       string
import time:       472 |        472 |       threading
import time:        52 |         52 |       atexit
import time:      1755 |      12506 |     logging
import time:       120 |        120 |       fnmatch
import time:       114 |        114 |         _winapi
import time:        54 |         54 |         nt
import time:        46 |         46 |         nt
import time:        44 |         44 |         nt
import time:        43 |         43 |         nt
import time:        44 |         44 |         nt
import time:        42 |         42 |         nt
import time:        78 |        461 |       ntpath
import time:        44 |         44 |       errno
import time:        94 |         94 |         urllib
import time:       132 |        132 |         math
import time:       871 |        871 |         ipaddress
import time:       753 |       1849 |       urllib.parse
import time:       659 |       3130 |     pathlib
import time:       145 |      15781 |   da_patch
import time:       102 |        102 |         deepagents._version
import time:        40 |         40 |             _typing
import time:      2141 |       2181 |           typing
import time:       207 |        207 |             langchain
import time:       159 |        159 |               __future__
import time:       192 |        192 |                 copy
import time:        76 |         76 |                     _ast
import time:      1228 |       1303 |                   ast
import time:        48 |         48 |                       _opcode
import time:       345 |        392 |                     opcode
import time:       625 |       1017 |                   dis
import time:       131 |        131 |                     importlib
import time:        51 |        182 |                   importlib.machinery
import time:      1806 |       4306 |                 inspect
import time:       607 |       5104 |               dataclasses
import time:        72 |         72 |                       langchain_core._import_utils
import time:       151 |        223 |                     langchain_core._api
import time:        82 |         82 |                     langchain_core._api.internal
import time:       253 |        253 |                                   _socket
import time:      2488 |       2741 |                                 typing_extensions
import time:       106 |        106 |                                     _datetime
import time:       288 |        393 |                                   datetime
import time:       710 |       1103 |                                 pydantic_core._pydantic_core
import time:       293 |        293 |                                       numbers
import time:       328 |        621 |                                     _decimal
import time:       185 |        806 |                                   decimal
import time:       113 |        113 |                                           concurrent
import time:       484 |        484 |                                           concurrent.futures._base
import time:       172 |        768 |                                         concurrent.futures
import time:        39 |         39 |                                           _heapq
import time:       156 |        194 |                                         heapq
import time:        56 |         56 |                                             select
import time:       383 |        439 |                                           selectors
import time:        81 |         81 |                                           array
import time:      1025 |       1544 |                                         socket
import time:        59 |         59 |                                             _locale
import time:       669 |        728 |                                           locale
import time:       432 |        432 |                                           signal
import time:        56 |         56 |                                           fcntl
import time:        68 |         68 |                                           msvcrt
import time:        27 |         27 |                                           _posixsubprocess
import time:       557 |       1865 |                                         subprocess
import time:       724 |        724 |                                           _ssl
import time:        83 |         83 |                                               _struct
import time:       210 |        293 |                                             struct
import time:        71 |         71 |                                             binascii
import time:       397 |        760 |                                           base64
import time:      2100 |       3583 |                                         ssl
import time:       243 |        243 |                                         asyncio.constants
import time:       135 |        135 |                                         asyncio.coroutines
import time:        34 |         34 |                                             _contextvars
import time:        99 |        133 |                                           contextvars
import time:       108 |        108 |                                           asyncio.format_helpers
import time:       112 |        112 |                                             asyncio.base_futures
import time:       168 |        168 |                                             asyncio.exceptions
import time:       121 |        121 |                                             asyncio.base_tasks
import time:       161 |        560 |                                           _asyncio
import time:      1808 |       2607 |                                         asyncio.events
import time:       208 |        208 |                                         asyncio.futures
import time:       139 |        139 |                                         asyncio.protocols
import time:       233 |        233 |                                           asyncio.transports
import time:        82 |         82 |                                           asyncio.log
