import time: self [us] | cumulative | imported package
import time:       188 |        188 |   _io
import time:        26 |         26 |   marshal
import time:       356 |        356 |   posix
import time:       304 |        873 | _frozen_importlib_external
import time:       123 |        123 |   time
import time:        84 |        207 | zipimport
import time:        35 |         35 |     _codecs
import time:       227 |        262 |   codecs
import time:       380 |        380 |   encodings.aliases
import time:       449 |       1090 | encodings
import time:       147 |        147 | encodings.utf_8
import time:        96 |         96 | _signal
import time:        25 |         25 |     _abc
import time:        94 |        119 |   abc
import time:       118 |        236 | io
import time:        34 |         34 |       _stat
import time:        44 |         77 |     stat
import time:       546 |        546 |     _collections_abc
import time:        38 |         38 |       genericpath
import time:        45 |         82 |     posixpath
import time:       327 |       1031 |   os
import time:        45 |         45 |   _sitebuiltins
import time:       260 |        260 |   encodings.utf_8_sig
import time:       383 |        383 |   _virtualenv
import time:       217 |        217 |   _distutils_hack
import time:        58 |         58 |   sitecustomize
import time:      1044 |       3035 | site
import time:       103 |        103 |         itertools
import time:       114 |        114 |         keyword
import time:        59 |         59 |           _operator
import time:       219 |        278 |         operator
import time:       140 |        140 |         reprlib
import time:        48 |         48 |         _collections
import time:       784 |       1465 |       collections
import time:       186 |        186 |         types
import time:        48 |         48 |         _functools
import time:       505 |        738 |       functools
import time:       461 |       2662 |     contextlib
import time:      1010 |       1010 |       enum
import time:        66 |         66 |         _sre
import time:       196 |        196 |           re._constants
import time:       348 |        544 |         re._parser
import time:        89 |         89 |         re._casefix
import time:       341 |       1038 |       re._compiler
import time:       153 |        153 |       copyreg
import time:       457 |       2655 |     re
import time:       160 |        160 |     fnmatch
import time:       332 |       5809 |   glob
import time:        62 |         62 |         _json
import time:       297 |        359 |       json.scanner
import time:       559 |        917 |     json.decoder
import time:       309 |        309 |     json.encoder
import time:       209 |       1434 |   json
import time:       127 |        127 |     __future__
import time:       303 |        303 |     warnings
import time:       167 |        167 |           collections.abc
import time:       183 |        183 |               token
import time:        47 |         47 |               _tokenize
import time:       801 |       1029 |             tokenize
import time:       126 |       1155 |           linecache
import time:      1738 |       1738 |           textwrap
import time:       526 |       3585 |         traceback
import time:       185 |        185 |           _weakrefset
import time:       381 |        565 |         weakref
import time:        28 |         28 |           _string
import time:       380 |        407 |         string
import time:       579 |        579 |         threading
import time:        50 |         50 |         atexit
import time:      1698 |       6882 |       logging
import time:        56 |         56 |         _typing
import time:      2108 |       2163 |       typing
import time:       230 |        230 |           _socket
import time:        94 |         94 |             math
import time:       126 |        126 |             select
import time:       491 |        711 |           selectors
import time:        55 |         55 |           errno
import time:       105 |        105 |           array
import time:      1227 |       2326 |         socket
import time:       164 |        164 |           email
import time:       595 |        759 |         email.errors
import time:       643 |        643 |           http
import time:        57 |         57 |                   binascii
import time:       211 |        211 |                   email.quoprimime
import time:        56 |         56 |                         _struct
import time:        97 |        152 |                       struct
import time:       214 |        366 |                     base64
import time:        89 |        454 |                   email.base64mime
import time:       125 |        125 |                       quopri
import time:        89 |        213 |                     email.encoders
import time:       152 |        365 |                   email.charset
import time:       525 |       1609 |                 email.header
import time:        28 |         28 |                       _bisect
import time:       119 |        147 |                     bisect
import time:        29 |         29 |                     _random
import time:        31 |         31 |                     _sha2
import time:       479 |        685 |                   random
import time:        93 |         93 |                     _datetime
import time:        96 |        188 |                   datetime
import time:        95 |         95 |                     urllib
import time:       881 |        881 |                     ipaddress
import time:       700 |       1675 |                   urllib.parse
import time:        49 |         49 |                         _locale
import time:       557 |        606 |                       locale
import time:       629 |       1234 |                     calendar
import time:       163 |       1396 |                   email._parseaddr
import time:       401 |       4344 |                 email.utils
import time:       272 |       6224 |               email._policybase
import time:       355 |       6579 |             email.feedparser
import time:       144 |       6723 |           email.parser
import time:       166 |        166 |             email._encoded_words
import time:        84 |         84 |             email.iterators
import time:       411 |        660 |           email.message
import time:      1138 |       1138 |             _ssl
import time:      1653 |       2790 |           ssl
import time:      1008 |      11821 |         http.client
import time:       673 |      15578 |       urllib3.exceptions
import time:       258 |        258 |               urllib3.util.timeout
import time:       295 |        552 |             urllib3.util.connection
import time:        91 |         91 |               urllib3.util.util
import time:       124 |        124 |               brotlicffi
import time:       343 |        343 |                 _brotli
import time:       112 |        455 |               brotli
import time:        68 |         68 |               backports
import time:      1316 |       2052 |             urllib3.util.request
import time:       111 |        111 |             urllib3.util.response
import time:       401 |        401 |             urllib3.util.retry
import time:       935 |        935 |                 _hashlib
import time:        45 |         45 |                 _blake2
import time:       182 |       1161 |               hashlib
import time:       164 |        164 |               hmac
import time:      3698 |       3698 |               urllib3.util.url
