import time: self [us] | cumulative | imported package
import time:       265 |        265 |   _io
import time:        35 |         35 |   marshal
import time:       410 |        410 |   posix
import time:       379 |       1088 | _frozen_importlib_external
import time:       111 |        111 |   time
import time:       112 |        223 | zipimport
import time:        51 |         51 |     _codecs
import time:       334 |        384 |   codecs
import time:       539 |        539 |   encodings.aliases
import time:       608 |       1530 | encodings
import time:       206 |        206 | encodings.utf_8
import time:       136 |        136 | _signal
import time:        40 |         40 |     _abc
import time:       132 |        172 |   abc
import time:       161 |        333 | io
import time:        60 |         60 |       _stat
import time:        79 |        139 |     stat
import time:       822 |        822 |     _collections_abc
import time:        49 |         49 |       genericpath
import time:        63 |        112 |     posixpath
import time:       336 |       1408 |   os
import time:        59 |         59 |   _sitebuiltins
import time:       290 |        290 |   encodings.utf_8_sig
import time:       482 |        482 |   _virtualenv
import time:       245 |        245 |   _distutils_hack
import time:        66 |         66 |   sitecustomize
import time:      1221 |       3770 | site
import time:       169 |        169 |         itertools
import time:       118 |        118 |         keyword
import time:        68 |         68 |           _operator
import time:       404 |        472 |         operator
import time:       170 |        170 |         reprlib
import time:        62 |         62 |         _collections
import time:       841 |       1831 |       collections
import time:       216 |        216 |         types
import time:        48 |         48 |         _functools
import time:       527 |        790 |       functools
import time:       487 |       3107 |     contextlib
import time:      1265 |       1265 |       enum
import time:        71 |         71 |         _sre
import time:       245 |        245 |           re._constants
import time:       320 |        565 |         re._parser
import time:        91 |         91 |         re._casefix
import time:       301 |       1026 |       re._compiler
import time:       141 |        141 |       copyreg
import time:       410 |       2841 |     re
import time:       209 |        209 |     fnmatch
import time:       438 |       6594 |   glob
import time:        60 |         60 |         _json
import time:       281 |        340 |       json.scanner
import time:       357 |        697 |     json.decoder
import time:       322 |        322 |     json.encoder
import time:       189 |       1207 |   json
import time:       113 |        113 |     __future__
import time:       231 |        231 |     warnings
import time:       172 |        172 |           collections.abc
import time:       200 |        200 |               token
import time:        43 |         43 |               _tokenize
import time:       802 |       1044 |             tokenize
import time:       169 |       1213 |           linecache
import time:       571 |        571 |           textwrap
import time:      1847 |       3802 |         traceback
import time:       151 |        151 |           _weakrefset
import time:       394 |        544 |         weakref
import time:        27 |         27 |           _string
import time:       374 |        400 |         string
import time:       503 |        503 |         threading
import time:        37 |         37 |         atexit
import time:      1436 |       6718 |       logging
import time:        37 |         37 |         _typing
import time:      1781 |       1818 |       typing
import time:       192 |        192 |           _socket
import time:        68 |         68 |             math
import time:       123 |        123 |             select
import time:       472 |        662 |           selectors
import time:        46 |         46 |           errno
import time:       100 |        100 |           array
import time:      1142 |       2141 |         socket
import time:       143 |        143 |           email
import time:       431 |        573 |         email.errors
import time:       508 |        508 |           http
import time:        55 |         55 |                   binascii
import time:       197 |        197 |                   email.quoprimime
import time:        58 |         58 |                         _struct
import time:        91 |        148 |                       struct
import time:       204 |        352 |                     base64
import time:        94 |        446 |                   email.base64mime
import time:       122 |        122 |                       quopri
import time:        85 |        206 |                     email.encoders
import time:       150 |        355 |                   email.charset
import time:       570 |       1621 |                 email.header
import time:        33 |         33 |                       _bisect
import time:       110 |        142 |                     bisect
import time:        31 |         31 |                     _random
import time:        33 |         33 |                     _sha2
import time:       670 |        875 |                   random
import time:       114 |        114 |                     _datetime
import time:       103 |        216 |                   datetime
import time:       101 |        101 |                     urllib
import time:       905 |        905 |                     ipaddress
import time:       804 |       1809 |                   urllib.parse
import time:        51 |         51 |                         _locale
import time:       597 |        647 |                       locale
import time:       611 |       1258 |                     calendar
import time:       167 |       1424 |                   email._parseaddr
import time:       442 |       4764 |                 email.utils
import time:       281 |       6666 |               email._policybase
import time:       330 |       6995 |             email.feedparser
import time:       142 |       7136 |           email.parser
import time:       173 |        173 |             email._encoded_words
import time:        85 |         85 |             email.iterators
import time:       968 |       1225 |           email.message
import time:       517 |        517 |             _ssl
import time:      1446 |       1962 |           ssl
import time:       741 |      11571 |         http.client
import time:       560 |      14843 |       urllib3.exceptions
import time:       217 |        217 |               urllib3.util.timeout
import time:       215 |        432 |             urllib3.util.connection
import time:        83 |         83 |               urllib3.util.util
import time:       107 |        107 |               brotlicffi
import time:       281 |        281 |                 _brotli
import time:       103 |        383 |               brotli
import time:        67 |         67 |               backports
import time:       379 |       1017 |             urllib3.util.request
import time:       105 |        105 |             urllib3.util.response
import time:       351 |        351 |             urllib3.util.retry
import time:       900 |        900 |                 _hashlib
import time:       101 |        101 |                 _blake2
import time:       200 |       1200 |               hashlib
import time:       384 |        384 |               hmac
import time:      5111 |       5111 |               urllib3.util.url
import time:       227 |        227 |               urllib3.util.ssltransport
import time:       269 |       7189 |             urllib3.util.ssl_
import time:       105 |        105 |             urllib3.util.wait
import time:       151 |       9346 |           urllib3.util
import time:        23 |       9368 |         urllib3.util.connection
import time:       478 |       9846 |       urllib3._base_connection
import time:       450 |        450 |       urllib3._collections
import time:        85 |         85 |       urllib3._version
import time:        32 |         32 |             _heapq
import time:       147 |        178 |           heapq
import time:        36 |         36 |           _queue
import time:       267 |        480 |         queue
import time:        89 |         89 |                 _winapi
import time:        78 |         78 |                 winreg
import time:       288 |        454 |               mimetypes
import time:       230 |        683 |             urllib3.fields
import time:       211 |        894 |           urllib3.filepost
import time:        57 |         57 |             zlib
import time:        59 |         59 |             brotlicffi
